id,searchable_name,location_label,map_location,category,convention_id
18615,"Hall B : Kingswood Games, Events",ICC : Hall B : Kingswood Games,/map?c=27&f=1&lg=94.336962890625&lt=-28.134390642743078&s=18615&z=6,Events,27
18616,"Hall B : Pine Box Entertainment, Events",ICC : Hall B : Pine Box,/map?c=27&f=1&lg=91.744189453125&lt=-27.767318309511285&s=18616&z=5,Events,27
18617,"Hall B : Archon Studio, Events",ICC : Hall B : Archon Studio,/map?c=27&f=1&lg=89.107470703125&lt=-27.767318309511285&s=18617&z=5,Events,27
18618,"Hall B : Corvus Belli, Events",ICC : Hall B : Corvus Belli,/map?c=27&f=1&lg=86.470751953125&lt=-27.767318309511285&s=18618&z=5,Events,27
18619,"Hall B : Red, Events",ICC : Hall B : Hall B: Red,/map?c=27&f=1&lg=90.110830078125&lt=-29.865570432332074&s=18619&z=5,Events,27
18620,"Hall B : Yellow, Events",ICC : Hall B : Hall B: Yellow,/map?c=27&f=1&lg=91.45125000000003&lt=-31.764042888536522&s=18620&z=5,Events,27
18621,"Hall B : B.A. Games, Events",ICC : Hall B : BA Games,/map?c=27&f=1&lg=82.60356445312499&lt=-27.99440141104616&s=18621&z=5,Events,27
18622,"Hall B : Tycoon Games, Events",ICC : Hall B : Tycoon Games,/map?c=27&f=1&lg=79.966845703125&lt=-27.99440141104616&s=18622&z=5,Events,27
18623,"Hall B : Breaking Games, Events",ICC : Hall B : Breaking Games,/map?c=27&f=1&lg=77.330126953125&lt=-27.767318309511285&s=18623&z=5,Events,27
18624,"Hall B : Green, Events",ICC : Hall B : Hall B: Green,/map?c=27&f=1&lg=79.83008789062502&lt=-31.190022713276832&s=18624&z=5,Events,27
18625,"Hall C : Ares Games, Events",ICC : Hall C : Ares Games,/map?c=27&f=1&lg=73.46654296875&lt=-28.097336458113137&s=18625&z=5,Events,27
18626,"Hall C : Floodgate Games, Events",ICC : Hall C : Floodgate Games,/map?c=27&f=1&lg=70.87376953125&lt=-28.097336458113137&s=18626&z=5,Events,27
18627,"Hall C : Don't Panic Games, Events",ICC : Hall C : Don't Panic Games,/map?c=27&f=1&lg=68.19310546875&lt=-27.53375944351337&s=18627&z=5,Events,27
18628,"Hall C : Paverson Games, Events",ICC : Hall C : Paverson Games,/map?c=27&f=1&lg=65.55638671875&lt=-27.767318309511285&s=18628&z=5,Events,27
18629,"Hall C : Purple, Events",ICC : Hall C : Hall C: Purple,/map?c=27&f=1&lg=67.468359375&lt=-30.287835164919052&s=18629&z=5,Events,27
18630,"Hall C : SmoreySwamp, Events",ICC : Hall C : Smorey Swamp,/map?c=27&f=1&lg=72.22042968750002&lt=-31.914942107843892&s=18630&z=5,Events,27
18631,"Hall C : Indie Game Studios, Events",ICC : Hall C : Indie Game Studios,/map?c=27&f=1&lg=62.91966796875001&lt=-27.767318309511285&s=18631&z=5,Events,27
18632,"Hall C : R&R Games, Events",ICC : Hall C : R&R Games,/map?c=27&f=1&lg=62.91966796875001&lt=-29.234795762708544&s=18632&z=6,Events,27
18633,"Hall C : Calliope Games, Events",ICC : Hall C : Calliope Games,/map?c=27&f=1&lg=62.91966796875001&lt=-29.808390256074357&s=18633&z=6,Events,27
18634,"Hall C : Rollacrit, Events",ICC : Hall C : Rollacrit,/map?c=27&f=1&lg=62.91966796875001&lt=-30.45450772193263&s=18634&z=6,Events,27
18635,"Hall C : Galen's Games, Events",ICC : Hall C : Galen's Games,/map?c=27&f=1&lg=62.91966796875001&lt=-31.096369347600803&s=18635&z=6,Events,27
18636,"Hall C : Adam's Apple Games, Events",ICC : Hall C : Adam's Apple Games,/map?c=27&f=1&lg=62.91966796875001&lt=-31.73392314895165&s=18636&z=6,Events,27
18637,"Hall C : Fireside Games, Events",ICC : Hall C : Fireside Games,/map?c=27&f=1&lg=62.91966796875001&lt=-32.36711963124963&s=18637&z=6,Events,27
18638,"Hall C : Red Raven Games, Events",ICC : Hall C : Red Raven Games,/map?c=27&f=1&lg=62.91966796875001&lt=-32.857440891851994&s=18638&z=6,Events,27
18639,"Hall D : One More Turn Games, Events",ICC : Hall D : One More Turn Games,/map?c=27&f=1&lg=58.56916992187502&lt=-27.074778672390362&s=18639&z=6,Events,27
18640,"Hall D : Play to Z, Events",ICC : Hall D : Play to Z,/map?c=27&f=1&lg=58.56916992187502&lt=-27.883910340882256&s=18640&z=6,Events,27
18641,"Hall D : Ludoliminal, Events",ICC : Hall D : Ludoliminal Games,/map?c=27&f=1&lg=58.56916992187502&lt=-28.54221976307633&s=18641&z=6,Events,27
18642,"Hall B : Dead Alive Games, Events",ICC : Hall D : Dead Alive,/map?c=27&f=1&lg=58.56916992187502&lt=-29.196440775925396&s=18642&z=6,Events,27
18643,"Hall D : Grandpa Beck's Games, Events",ICC : Hall D : Grandpa Beck's Games,/map?c=27&f=1&lg=58.56916992187502&lt=-29.718589566224278&s=18643&z=6,Events,27
18644,"Hall D : Weird Giraffe Games, Events",ICC : Hall D : Weird Giraffe Games,/map?c=27&f=1&lg=58.56916992187502&lt=-30.334953881988564&s=18644&z=6,Events,27
